구분,이용일,이용구분,가맹점,이용금액,총 할부금액,이용혜택,혜택금액,개월,회차,원금
용돈,20211110,,CU(씨유)성내역점,"4,500",,,,,,"4,500"
용돈,20211111,,CU(씨유)성내역점,"4,500",,,,,,"4,500"
생활비,20211111,,주식회사원마트,"3,860",,상생국민지원,"-3,860",,,
생활비,20211112,페리카나 후곡,위대한상상,"13,900",,,,,,"13,900"
생활비,20211113,곽실장 ( 양장피 ),쿠팡,"30,000",,,,,,"30,000"
생활비,20211113,,메가엠지씨커피 일산서구점,"4,700",,상생국민지원,"-4,700",,,
생활비,20211113,하온이 이마 수술,동국대학교 의료원 (일산),"182,370",,,,,,"182,370"
생활비,20211113,하온이 이마 수술,동국대학교 의료원 (일산),"34,920",,,,,,"34,920"
생활비,20211113,"왕냉면왕돈까스 ( 돈가스, 제육 )",위대한상상,"10,500",,,,,,"10,500"
생활비,20211114,,주식회사원마트,"65,010",,상생국민지원,"-65,010",,,
용돈,20211115,,코리아세븐M잠실나루역점,"4,500",,상생소비지원,"-4,500",,,
생활비,20211116,"요리왕 ( 간짜장, 우동 )",위대한상상,"9,500",,상생소비지원,"-4,900",,,"4,600"
생활비,20211116,,메가엠지씨커피 일산서구점,"5,200",,상생국민지원,"-5,200",,,
생활비,20211116,,CU(씨유)일산창호점,"4,500",,상생국민지원,"-4,500",,,
생활비,20211118,,(주)이마트에브리데이 일산2호점,"15,580",,,,,,"15,580"
생활비,20211119,자담치킨 ( 생그라나 ),위대한상상,"14,000",,,,,,"14,000"
생활비,20211120,,주식회사원마트,"10,850",,상생국민지원,"-10,850",,,
생활비,20211120,"천지향 ( 백짬뽕, 군만두 )",위대한상상,"10,900",,,,,,"10,900"
생활비,20211120,배스킨라빈스 쿼터,위대한상상,"9,500",,,,,,"9,500"
생활비,20211121,교촌치킨,위대한상상,"18,000",,,,,,"18,000"
생활비,20211121,8월의중식 ( 짜장 + 깐소새우 ),위대한상상,"14,400",,,,,,"14,400"
생활비,20211121,스시락 - 2인세트,쿠팡,"39,000",,,,,,"39,000"
생활비,20211122,,CU(씨유)일산창호점,"3,600",,상생국민지원,"-3,600",,,
생활비,20211123,,주식회사원마트,"11,670",,상생국민지원,"-11,670",,,
생활비,20211124,,주식회사원마트,"5,160",,상생국민지원,"-5,160",,,
,20211124,,문자도우미 11월이용료,300,,포인트사용,-300,,,
생활비,20211125,떡참,쿠팡,"10,500",,,,,,"10,500"
생활비,20211125,,메가엠지씨커피 일산서구점,"3,400",,상생국민지원,"-3,400",,,
생활비,20211126,,주식회사원마트,"10,840",,상생국민지원,"-10,840",,,
통신,20211126,핫도그 23700,SK통신료 10월 - 948199,"52,190",,청구할인,"-1,155",,,"27,335"
생활비,20211127,"천지향 ( 삼선짬뽕, 볶음밥 )",위대한상상,"13,300",,,,,,"13,300"
생활비,20211128,,얼음왕국 탄현점,"2,400",,상생국민지원,"-2,400",,,
생활비,20211128,곽실장 ( 탕수육 ),쿠팡,"10,000",,,,,,"10,000"
생활비,20211130,,주식회사원마트,"8,840",,상생국민지원,"-8,840",,,
생활비,20211202,,CU(씨유)일산창호점,"6,600",,상생국민지원,"-6,600",,,
생활비,20211204,버거킹 ( 더블화이트갈릭팩2 ),쿠팡,"15,100",,,,,,"15,100"
생활비,20211205,"천지향 ( 백짬뽕, 볶음밥 )",위대한상상,"14,800",,,,,,"14,800"
생활비,20211205,굽네 ( 갈릭마왕 ),쿠팡,"14,000",,,,,,"14,000"
생활비,20211206,,얼음왕국 탄현점,"5,800",,상생국민지원,"-5,800",,,
생활비,20211206,,CU(씨유)일산창호점,"3,600",,상생국민지원,"-3,600",,,
생활비,20211208,,주식회사원마트,"8,840",,상생국민지원,"-8,840",,,
생활비,20211209,페리카나 중산,위대한상상,"17,000",,,,,,"17,000"
교통,20211209,,교통-지하철 0043건 (20211110~20211209),"77,950",,청구할인,"-7,795",,,"70,155"
교통,20211209,,교통-버스 0001건 (20211203~20211203),"1,450",,청구할인,-145,,,"1,305"
,,,일시불합계,,,,,,,"623,865"
